Problem;Rationale;category;correct;id;options
the area of a square is 4096 sq cm . find the ratio of the breadth and the length of a rectangle whose length is twice the side of the square and breadth is 24 cm less than the side of the square .;let the length and the breadth of the rectangle be l cm and b cm respectively . let the side of the square be a cm . a 2 = 4096 = 212 a = ( 212 ) 1 / 2 = 26 = 64 l = 2 a and b = a - 24 b : l = a - 24 : 2 a = 40 : 128 = 5 : 16 answer : e;geometry;e;22527;['a ) 5 : 78', 'b ) 5 : 11', 'c ) 5 : 12', 'd ) 5 : 19', 'e ) 5 : 16']
the area of a parallelogram is 450 sq m and its altitude is twice the corresponding base . then the length of the base is ?;"""2 x * x = 450 = > x = 15 answer : e""";geometry;e;28775;a ) 8 , b ) 9 , c ) 7 , d ) 6 , e ) 15
find the area of circle whose radius is 7 m ?;the area of circle = pie * r ^ 2 = 22 / 7 * 7 * 7 = 154 sq m answer : e;geometry;e;44695;['a ) 121 sq m', 'b ) 184 sq m', 'c ) 174 sq m', 'd ) 124 sq m', 'e ) 154 sq m']
the length and breadth of a rectangle is increased by 30 % and 45 % respectively . what is the increase in the area ?;"""100 * 100 = 10000 130 * 145 = 18850 - - - - - - - - - - - 8850 10000 - - - - 8850 100 - - - - - 88.50 answer e""";geometry;e;43280;a ) 88.25 , b ) 87.5 , c ) 86.0 , d ) 88.0 , e ) 88.5
if the area of a circle is 100 pi square feet , find its circumference .;"""the area is given by pi * r * r . hence pi * r * r = 100 pi r * r = 100 ; hence r = 10 feet the circumference is given by 2 * pi * r = 2 * pi * 10 = 20 pi feet correct answer b""";geometry;b;45052;a ) 65 pi feet , b ) 20 pi feet , c ) 42 pi feet , d ) 18 pi feet , e ) 64 pi feet
the length of a rectangle is increased by 20 % and its breadth is decreased by 20 % . what is the effect on its area ?;"""100 * 100 = 10000 120 * 80 = 9600 answer : b""";geometry;b;16789;a ) 1288 , b ) 9600 , c ) 1000 , d ) 10000 , e ) 2887
what is the diagonal of a square field whose perimeter is 24 m ?;sol : let the side of the square be x meters . therefore , 4 x = 24 x = 6 diagonal of the square is = √ 2 * ( 6 ) ^ 2 = 6 √ 2 answer : e;geometry;e;28913;['a ) 8 m', 'b ) 2 m', 'c ) 7 m', 'd ) 10 m', 'e ) 6 √ 2 m']
a football field is 10800 square yards . if 1200 pounds of fertilizer are spread evenly across the entire field , how many pounds of fertilizer were spread over an area of the field totaling 3600 square yards ?;"""answer a ) 10800 yards need 1200 lbs 1 yard will need 1200 / 10800 = 1 / 9 lbs 3600 yards will need 1 / 9 * 3600 yards = 400 lbs""";geometry;a;36147;a ) 400 , b ) 600 , c ) 750 , d ) 2400 , e ) 3200
if each edge of a cube is doubled , then its volume :;sol . let original edge = a . then , volume = a ³ new edge = 2 a . so , new volume = ( 2 a ) ³ = 8 a ³ ∴ volume becomes 8 times answer a;geometry;a;33601;['a ) becomes 8 times', 'b ) becomes 9 times', 'c ) is double', 'd ) becomes 6 times', 'e ) none']
right triangle pqr is to be constructed in the xy - plane so that the right angle is at p and pr is parallel to the x - axis . the x and y coordinates of p , q and r are to be integers that satisfy the inequalitites - 4 ≤ x ≤ 5 and 6 ≤ y ≤ 16 . how many different triangles with these properties could be constructed ?;"total values for x = 10 ; y = 11 x 1 , y 1 = 10 * 11 . . . . . . . . . . . . . . . . . . . . . . . coordinates of 1 st pnt x 2 , y 2 = 9 * 1 ( y 2 = y 1 ) . . . . . . . . . . . . . . . coordinates of 2 nd pnt y coordinates will be same as that of 1 st pnt bcoz it is parallel to x axis x 3 , y 3 = 1 * 10 ( x 2 = x 3 ) . . . . . . . . . . coordinates of 3 rd pt . x coordinates will be same as that of 2 nd point bcoz to make a right angle it has to be parallel to y axis tot ways = 10 * 11 * 9 * 1 * 1 * 10 = 9900 ans : c";geometry;c;34992;a ) 110 , b ) 1100 , c ) 9900 , d ) 10000 , e ) 12100
if n is the smallest integer such that 432 times n is the square of an integer , what is the value of n ?;"the prime factorization of a square has to have even powers of all its prime factors . if the original number has a factor , say of 7 , then when it ’ s squared , the square will have a factor of 7 ^ 2 . another way to say that is : any positive integer all of whose prime factors have even powers must be a perfect square of some other integer . look at the prime factorization of 432 432 = ( 2 ^ 4 ) * ( 3 ^ 3 ) the factor of 2 already has an even power — - that ’ s all set . the factor of 3 currently has an odd power . if n = 3 , then 432 * n would have an even power of 2 and an even power of 3 ; therefore , it would be a perfect square . thus , n = 3 is a choice that makes 432 * n a perfect square . answer : b .";geometry;b;36619;['a ) 2', 'b ) 3', 'c ) 6', 'd ) 12', 'e ) 24']
a cube of edge 15 cm is immersed completely in a rectangular vessel containing water . if the dimensions of the base of vessel are 20 cm * 15 cm , find the rise in water level ?;"""increase in volume = volume of the cube = 15 * 15 * 15 cm ^ 3 rise in water level = volume / area = 15 * 15 * 15 / 20 * 15 = 11.25 cm answer is c""";geometry;c;33615;a ) 6 cm , b ) 8.25 cm , c ) 11.25 cm , d ) 15.12 cm , e ) 20.62 cm
huey ' s hip pizza sells two sizes of square pizzas : a small pizza that measures 6 inches on a side and costs $ 10 , and a large pizza that measures 9 inches on a side and costs $ 20 . if two friends go to huey ' s with $ 30 apiece , how many more square inches of pizza can they buy if they pool their money than if they each purchase pizza alone ?;"""in the first case each can buy one pizza of $ 10 and one pizza of $ 20 . in square inches that would be ( 6 * 6 = 36 ) for the small pizza and ( 9 * 9 = 81 ) for the large pizza . in total sq inches that would be ( 36 + 81 ) * 2 = 234 sq inches . in the second case if they pool their money together they can buy 3 large pizzas . in terms of square inches that would be 3 * 81 = 243 sq inches . hence , the difference is 9 square inches more ( 243 - 234 ) . the correct answer is a""";geometry;a;36317;a ) 9 square inches , b ) 10 square inches , c ) 15 square inches , d ) 25 square inches , e ) 350 square inches
carol and jordan draw rectangles of equal area . if carol ' s rectangle measures 5 inches by 24 inches and jordan ' s rectangle is 2 inches long , how wide is jordan ' s rectangle , in inches ?;"""area of carol ' s rectangle = 24 * 5 = 120 let width of jordan ' s rectangle = w since , the areas are equal 2 w = 120 = > w = 60 answer d""";geometry;d;44480;a ) 65 , b ) 63 , c ) 52 , d ) 60 , e ) 68
the least perfect square , which is divisible by each of 21 , 36 and 66 is :;"""explanation : l . c . m . of 21 , 36 , 66 = 2772 . now , 2772 = 2 x 2 x 3 x 3 x 7 x 11 to make it a perfect square , it must be multiplied by 7 x 11 . so , required number = 22 x 32 x 72 x 112 = 213444 answer is a""";geometry;a;24332;a ) 213444 , b ) 214344 , c ) 214434 , d ) 231444 , e ) 233444
a rectangular photograph is surrounded by a border that is 1 inch wide on each side . the total area of the photograph and the border is m square inches . if the border had been 7 inches wide on each side , the total area would have been ( m + 264 ) square inches . what is the perimeter of the photograph , in inches ?;"""let x and y be the width and length of the photograph . ( x + 2 ) ( y + 2 ) = m and so ( 1 ) xy + 2 x + 2 y + 4 = m ( x + 14 ) ( y + 14 ) = m and so ( 2 ) xy + 14 x + 14 y + 196 = m + 264 let ' s subtract equation ( 1 ) from equation ( 2 ) . 12 x + 12 y + 192 = 264 2 x + 2 y = 12 , which is the perimeter of the photograph . the answer is b .""";geometry;b;30934;a ) 8 , b ) 12 , c ) 16 , d ) 20 , e ) 24
a square mirror has exactly half the area of the rectangular wall on which it is hung . if each side of the mirror is 24 inches and the width of the wall is 42 inches , what is the length of the wall , in inches ?;"""since the mirror is 42 inches in all sides , it must be a square . area of a square is a = a ^ 2 ; 24 ^ 2 = 576 . area of rectangle is double of that 2 * 576 = 1152 . now a = lw and we need find w so a / l = w ; 1152 / 42 = 27.4 answer ! answer : e""";geometry;e;26786;a ) 21.4 , b ) 23.4 , c ) 25.4 , d ) 26.4 , e ) 27.4
what is the perimeter of a triangle with sides 7 and 5 that has the maximum possible area ?;we can maximize the area of the triangle by making these two sides the base and the height of a right angle triangle . then the third side is the hypotenuse with a length of √ ( 49 + 25 ) = √ 74 the perimeter is 12 + √ 74 the answer is e .;geometry;e;34746;['a ) 12 + √ 7', 'b ) 12 + 4 √ 7', 'c ) 12 + √ 47', 'd ) 12 + 4 √ 47', 'e ) 12 + √ 74']
the surface of a cube is 96 sq cm . find its volume ?;6 a 2 = 96 = 6 * 16 a = 4 = > a 3 = 64 cc answer : e;geometry;e;22376;['a ) 8 cc', 'b ) 9 cc', 'c ) 2 cc', 'd ) 4 cc', 'e ) 64 cc']
the points a ( 0 , 0 ) , b ( 0 , 4 a - 2 ) and c ( 2 a + 1 , 2 a + 6 ) form a triangle . if angle abc = 90 , what is the area of triangle abc ?;"1 / 2 bh = 1 / 2 ( 2 a + 1 ) ( 2 a + 6 ) now 4 a - 2 = 2 a + 6 2 a = 8 . a = 4 therefore , a ( 0,0 ) ; b ( 0,14 ) ; c ( 9,14 ) 1 / 2 * 9 * 14 = 63 answer : c";geometry;c;39317;a ) 58 , b ) 70 , c ) 63 , d ) 65 , e ) 72
the measurement of a rectangular box with lid is 25 cmx 18 cmx 18 cm . find the volume of the largest sphere that can be inscribed in the box ( in terms of π cm 3 ) . ( hint : the lowest measure of rectangular box represents the diameter of the largest sphere );"""d = 18 , r = 9 ; volume of the largest sphere = 4 / 3 π r 3 = 4 / 3 * π * 9 * 9 * 9 = 972 π cm 3 answer : d""";geometry;d;35118;a ) 288 , b ) 48 , c ) 72 , d ) 972 , e ) 964
find the curved surface area , if the radius of a cone is 7 m and slant height is 14 m ?;"""cone curved surface area = ï € rl 22 / 7 ã — 7 ã — 14 = 22 ã — 14 = 308 m ( power 2 ) answer is a .""";geometry;a;28023;a ) 308 , b ) 369 , c ) 434 , d ) 476 , e ) 513
a circular well with a diameter of 2 metres , is dug to a depth of 4 metres . what is the volume of the earth dug out ?;"""sol . volume = ∏ r ² h = [ 22 / 7 * 1 * 1 * 14 ] m ³ = 44 m ³ answer c""";geometry;c;44513;a ) 26 m ³ , b ) 28 m ³ , c ) 44 m ³ , d ) 46 m ³ , e ) none
a circular garden is surrounded by a fence of negligible width along the boundary . if the length of the fence is 1 / 8 of th area of the garden . what is the radius of the circular garden ?;as per the question - - width is negligible now , let l be the length of the fence = 2 pir l = 1 / 8 ( pir ^ 2 ) pir ^ 2 = 16 pir r = 16 answer : e;geometry;e;35953;['a ) 1', 'b ) 2', 'c ) 4', 'd ) 8', 'e ) 16']
in a triangle , one side is 6 cm and another side is 8 cm . which of the following can be the perimeter of the triangle ?;given : one side is 6 cm and another side is 8 cm . so the 3 rd side will be > 3 and < 15 . thus the perimeter will be : 18 < perimeter < 30 . only option satisfying this condition is 22 . hence a .;geometry;a;41447;['a ) 22 .', 'b ) 25 .', 'c ) 30 .', 'd ) 32 .', 'e ) 34 .']
a cube of edge 15 cm is immersed completely in a rectangular vessel containing water . if the dimensions of the base of vessel are 20 cm * 14 cm , find the rise in water level ?;"""increase in volume = volume of the cube = 15 * 15 * 15 cm ^ 3 rise in water level = volume / area = 15 * 15 * 15 / 20 * 14 = 12.05 cm answer is b""";geometry;b;31484;a ) 6 cm , b ) 12.05 cm , c ) 11.25 cm , d ) 15.12 cm , e ) 20.62 cm
in a company of 200 employees , 120 are females . a total of 100 employees have advanced degrees and the rest have a college degree only . if 40 employees are males with a college degree only , how many employees are females with advanced degrees ?;"""the number of males is 200 - 120 = 80 . the number of males with advanced degrees is 80 - 40 = 40 . the number of females with advanced degrees is 100 - 40 = 60 . the answer is a .""";geometry;a;22799;a ) 60 , b ) 70 , c ) 80 , d ) 90 , e ) 100
find the area of a right - angled triangle whose base is 12 cm and hypotenuse is 13 cm .;sol . height of the triangle = [ ( 13 ) 2 - ( 12 ) 2 ] ( 1 / 2 ) cm = ( 25 ) ( 1 / 2 ) cm = 5 cm . its area = ( 1 / 2 ) * base * height = ( ( 1 / 2 ) * 12 * 5 ) cm ^ 2 = 30 cm ^ 2 . ans : b;geometry;b;19532;['a ) 15', 'b ) 30', 'c ) 18', 'd ) 12', 'e ) 25']
find the smallest number which should be multiplied with 1152 to make it a perfect square .;1152 = 2 * 2 * 2 * 2 * 2 * 2 * 2 * 3 * 3 required smallest number = 2 2 is the smallest number which should be multiplied with 1152 to make it a perfect square . answer : a;geometry;a;41565;['a ) 2', 'b ) 1', 'c ) 3', 'd ) 5', 'e ) 6']
the largest four - digit number which is a perfect cube , is;solution clearly , 9261 is a perfect cube satisfying the given property . answer b;geometry;b;18965;['a ) 8000', 'b ) 9261', 'c ) 9999', 'd ) none of these', 'e ) can not be determined']
in measuring the sides of a rectangle , one side is taken 12 % in excess and other 5 % in deficit . find the error percentage in the area calculated from these measurements .;"""say both sides of the rectangle are equal to 100 ( so consider that we have a square ) . in this case the area is 100 * 100 = 10,000 . now , the area obtained with wrong measurements would be 112 * 95 = 10,640 , which is 6.4 % greater than the actual area . answer : b .""";geometry;b;43232;a ) 3.5 % , b ) 6.4 % , c ) 3 % , d ) 5 % , e ) 2.6 %
the radius of a cylinder is 6 m , height 21 m . the total surface area of the cylinder is ?;"""total surface area of the cylinder is = 2 π r ( r + h ) = 2 × 22 / 7 × 6 ( 6 + 8 ) = 2 × 22 / 7 × 6 ( 14 ) = 44 × 12 = 528 m ( power 2 ) answer is b .""";geometry;b;37603;a ) 525 , b ) 528 , c ) 522 , d ) 529 , e ) 521
here is 15 dots . if you select 3 dots randomly , what is the probability that 3 dots make a triangle ?;total ways of selecting 3 dots out of 15 is 15 c 3 = 455 if 3 dots are collinear then triangle may not be formed . now look at the above diagram . if we select any 3 dots from the red lines they may not form a triangle . they are 3 x 5 c 3 = 30 . if we select the three letters from blue lines , they may not form a triangle . they are in total 5 ways . also there are 6 others lines which do n ' t form a triangle . also another two orange lines . total = 30 + 5 + 6 + 2 = 43 . so we can form a triangle in 455 - 43 = 412 . so answer could be 412 / 455 . answer : b;geometry;b;34555;a ) 440 / 455 , b ) 412 / 455 , c ) 434 / 455 , d ) 449 / 455 , e ) 438 / 455
the circumferences of two circles are 528 meters and 704 meters . find the difference between the areas of the larger and the smaller circles ?;"""let the radii of the smaller and the larger circles be s m and l m respectively . 2 ∏ s = 528 and 2 ∏ l = 704 s = 528 / 2 ∏ and l = 704 / 2 ∏ difference between the areas = ∏ l ^ 2 - ∏ s ^ 2 = ∏ { 264 ^ 2 / ∏ ^ 2 - 352 ^ 2 / ∏ ^ 2 } = 264 ^ 2 / ∏ - 352 ^ 2 / ∏ = ( 264 - 352 ) ( 264 + 352 ) / ∏ = ( 88 ) ( 616 ) / ( 22 / 7 ) = 17248 sq m answer : e""";geometry;e;33863;a ) 29963 sq m , b ) 28937 sq m , c ) 43162 sq m , d ) 27688 sq m , e ) 17248 sq m
the radius of a cylinder is 12 m , height 21 m . the lateral surface area of the cylinder is :;lateral surface area = 2 π rh = 2 × 22 / 7 × 12 × 21 = 44 × 36 = 1584 m ( power 2 ) answer is a .;geometry;a;20165;['a ) 1584', 'b ) 1854', 'c ) 1458', 'd ) 1485', 'e ) none of them']
a rectangular lawn 70 m × 30 m has two roads each 5 metres wide , running in the middle of it , one parallel to the length and the other parallel to the breadth . find the cost of gravelling the road at the rate of 4 per square metre .;total area of road = area of road which parallel to length + area of road which parallel to breadth – overlapped road = 70 × 5 + 30 × 5 – 5 × 5 = 350 + 150 – 25 = 500 – 25 = 475 m 2 ∴ cost of gravelling the road = 475 × 4 = 1900 answer c;geometry;c;29059;['a ) 2,000', 'b ) 1,800', 'c ) 1,900', 'd ) 1,700', 'e ) none of these']
the perimeter of a square is equal to the perimeter of a rectangle of length 15 cm and breadth 14 cm . find the circumference of a semicircle whose diameter is equal to the side of the square . ( round off your answer to two decimal places );let the side of the square be a cm . perimeter of the rectangle = 2 ( 15 + 14 ) = 58 cm perimeter of the square = 58 cm i . e . 4 a = 58 a = 14.5 diameter of the semicircle = 14.5 cm circumference of the semicircle = 1 / 2 ( ∏ ) ( 14.5 ) = 1 / 2 ( 22 / 7 ) ( 14.5 ) = 22.78 cm to two decimal places answer : a;geometry;a;38779;['a ) 22.78', 'b ) 23.54', 'c ) 24.5', 'd ) 25.55', 'e ) 23.51']
a metallic sheet is of rectangular shape with dimensions 50 m x 30 m . from each of its corners , a square is cut off so as to make an open box . if the length of the square is 5 m , the volume of the box ( in m cube ) is :;"""explanation : l = ( 50 - 10 ) m = 40 m , [ because 5 + 5 = 10 ] b = ( 30 - 10 ) m = 20 m , h = 5 m . volume of the box = ( 40 x 20 x 5 ) m cube = 4000 m cube . option e""";geometry;e;34584;a ) 4120 m cube , b ) 4140 m cube , c ) 5140 m cube , d ) 5120 m cube , e ) none of these
if the area of a square with sides of length 3 centimeters is equal to the area of a rectangle with a width of 3 centimeters , what is the length of the rectangle , in centimeters ?;"""let length of rectangle = l 3 ^ 2 = l * 3 = > l = 9 / 3 = 3 answer a""";geometry;a;25590;a ) 3 , b ) 8 , c ) 12 , d ) 16 , e ) 18
what is the total surface area in square meters of a rectangular solid whose length is 6 meters , width is 5 meters , and depth is 2 meters ?;surface area of a cuboid = 2 ( lb + bh + lh ) = 2 ( 6 * 5 + 5 * 2 + 6 * 2 ) = 2 ( 30 + 10 + 12 ) = 2 * 52 = 104 m 2 answer : b;geometry;b;41184;['a ) 100 m 2', 'b ) 104 m 2', 'c ) 106 m 2', 'd ) 108 m 2', 'e ) 160 m 2']
danny is sitting on a rectangular box . the area of the front face of the box is half the area of the top face , and the area of the top face is 1.5 times the area of the side face . if the volume of the box is 5184 , what is the area of the side face of the box ?;"""lets suppose length = l , breadth = b , depth = d front face area = l * w = 1 / 2 w * d ( l = 1 / 2 d or d = 2 l ) top face area = w * d side face area = w * d = 1.5 d * l ( w = 1.5 l ) volume = l * w * d = 5184 l * 1.5 l * 2 l = 5184 l = 12 side face area = l * d = l * 2 l = 12 * 2 * 12 = 288 e is the answer""";geometry;e;20605;a ) 123 , b ) 167 , c ) 178 , d ) 199 , e ) 288
the percentage increase in the area of a rectangle , if each of its sides is increased by 20 % is :;"""let original length = x metres and original breadth = y metres . original area = ( xy ) m 2 . new length = 120 x m = 6 x m . 100 5 new breadth = 120 y m = 6 y m . 100 5 new area = 6 x x 6 y m 2 = 36 xy m 2 . 5 5 25 the difference between the original area = xy and new - area 36 / 25 xy is = ( 36 / 25 ) xy - xy = xy ( 36 / 25 - 1 ) = xy ( 11 / 25 ) or ( 11 / 25 ) xy increase % = 11 xy x 1 x 100 % = 44 % . 25 xy a""";geometry;a;36811;a ) 44 % , b ) 46 % , c ) 48 % , d ) 50 % , e ) 51 %
how much greater is the combined area in square inches of the front and back of a rectangular sheet of paper measuring 11 inches by 9 inches than that of a rectangular sheet of paper measuring 4.5 inches by 11 inches ?;"""let ' s just look at the dimensions ( no calculation needed ) . with dimension 11 the same , the other dimension 9 is twice 4.5 then the area will be double which means 100 % greater . the answer is c .""";geometry;c;21852;a ) 50 % , b ) 87 % , c ) 100 % , d ) 187 % , e ) 200 %
if the sum of a number and its square is 272 , what is the number ?;"""explanation : let the integer be x . then , x + x 2 = 272 x 2 + x - 272 = 0 ( x + 17 ) ( x – 16 ) = 0 x = 16 answer : b""";geometry;b;42755;a ) 14 , b ) 16 , c ) 19 , d ) 21 , e ) none of these
find the area of the quadrilateral of one of its diagonals is 28 cm and its off sets 9 cm and 6 cm ?;"""1 / 2 * 28 ( 9 + 6 ) = 210 cm 2 answer : a""";geometry;a;33943;a ) 210 cm 2 , b ) 150 cm 2 , c ) 168 cm 2 , d ) 198 cm 2 , e ) 987 cm 2
in a new housing development , trees are to be planted along the sidewalk of a certain street . each tree takes up one square foot of sidewalk space , and there are to be 20 feet between each tree . how many trees can be planted if the road is 148 feet long ?;let t be the number of trees . then the length required for trees on the sidewalk will be 1 * t = t to maximize the number of trees , the number of 20 feet spaces between trees should be 1 less than total number of trees . for example , if there are 3 trees , then there should be 2 spaces between them . so the number of 20 feet spaces will be t - 1 . then , the length of sidewalk required for 20 feet spaces will be 20 * ( t - 1 ) it is given that total length of sidewalk is 148 feet . or 20 ( t - 1 ) + t = 148 or 20 t - 20 + t = 148 or 21 t = 168 or t = 8 answer : - a;geometry;a;23990;['a ) 8', 'b ) 9', 'c ) 10', 'd ) 11', 'e ) 16']
frank the fencemaker needs to fence in a rectangular yard . he fences in the entire yard , except for one full side of the yard , which equals 40 feet . the yard has an area of 500 square feet . how many feet offence does frank use ?;"""area = length x breadth 500 = 40 x breadth so , breadth = 15 units fencing required is - breadth + breadth + length 15 + 15 + 40 = > 70 feet answer must be ( c ) 70""";geometry;c;41034;a ) 14 , b ) 47 , c ) 70 , d ) 180 , e ) 240
if a rectangular room measures 12 meters by 6 meters by 4 meters , what is the volume of the room in cubic centimeters ? ( 1 meter = 100 centimeters );"""a . 288 , 000,000 12 * 100 * 6 * 100 * 4 * 100 = 288 , 000,000""";geometry;a;21923;a ) 288 , 000,000 , b ) 240,000 , c ) 2 , 400,000 , d ) 24 , 000,000 , e ) 240 , 000,000
the admission charge in a water park is $ 1 by adult and $ 0.75 by child accompanying an adult . how much was there of child with an adult who paid in quite $ 3.25 to have access to the water park ?;a = # of adults price for on adult = $ 1.00 e = # of kids price for on kid ( accompanying an adult ) = $ 0.75 t = total ( $ ) $ 3.25 t = price for an adult * a + price for on kid * e 3.25 = $ 1 * a + $ 0.75 * e 3.25 = a + $ 0.75 * e because the kids have to be accompanying by an adult , a = 1 $ 3.25 = 1 + $ 0.75 * e $ 3.25 - 1 = 1 - 1 + $ 0.75 * e $ 2.25 = $ 0.75 * e $ 2.25 / $ 0.75 = ( $ 0.75 * e ) / $ 0.75 3 = e = number of kids accompanying an adult . correct option : c ) 3 kids;geometry;c;36427;a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5
two identical circles intersect such that their centers and the points at which they intersect form a square of side 4 cm . what is the area of the region where the two circles intersect ?;drawing a diagram , we see that the radius of the circle equals the side of the square . the area of intersection is : pi * r ^ 2 / 4 - ( r ^ 2 - pi * r ^ 2 / 4 ) = pi * r ^ 2 / 2 - r ^ 2 = 8 pi - 16 the answer is d .;geometry;d;30179;['a ) 16 - 4 pi', 'b ) 4 - pi', 'c ) 2 pi - 4', 'd ) 8 pi - 16', 'e ) pi ^ 2 - 4']
the length and width of a rectangle are integer values . what is the area of the smallest such rectangle that can be inscribed in a circle whose radius is also an integer;if we consider all pythagorean triplets with integral values , we have the following results : - ( 3 , 4,5 ) , ( 6 , 8,10 ) . . . . . . . . the diameter of the circle is 5 in the 1 st case and 10 in the 2 nd . but the question says that radius of the circle is also an integer hence the 1 st triplet will be ruled out . we are left with the 2 nd triplet where radius of the circle = 5 , hence the sides of the rectangle are 6 and 8 making the area = 45 . b;geometry;b;31453;['a ) 12', 'b ) 45', 'c ) 36', 'd ) 48', 'e ) 60']
line l passes through the points ( - 2,0 ) and ( 0 , a ) . line ll passes through the points ( 4,0 ) and ( 6,2 ) . what value of a makes the two lines parallel ?;find slopes first slope of l = ( a - 0 ) / ( 0 - ( - 2 ) ) = a / 2 slope of ll = ( 2 - 0 ) / ( 6 - 4 ) = 1 for l and ll to be parallel , their slopes must be equal a / 2 = 1 , a = 2 correct answer b;geometry;b;38602;['a ) 1', 'b ) 2', 'c ) 3', 'd ) 4', 'e ) 5']
the largest five digit number which is a perfect cube , is :;explanation : 46 * 46 * 46 = 97336 answer : c;geometry;c;32964;['a ) 85184', 'b ) 91125', 'c ) 97336', 'd ) 96806', 'e ) 99999']
the diagonal of a rhombus are 65 m and 60 m . its area is :;"""area of the rhombus = 1 / 2 d 1 d 2 = ( 1 / 2 × 65 × 60 ) cm ( power ) 2 = 65 × 30 = 1950 cm ( power ) 2 answer is b .""";geometry;b;17139;a ) 1940 , b ) 1950 , c ) 1960 , d ) 1990 , e ) 1980
if the area of a square with sides of length 9 centimeters is equal to the area of a rectangle with a width of 3 centimeters , what is the length of the rectangle , in centimeters ?;let length of rectangle = l 9 ^ 2 = l * 3 = > l = 81 / 3 = 27 answer b;geometry;b;31744;['a ) 4', 'b ) 27', 'c ) 12', 'd ) 16', 'e ) 18']
a horse is tethered to one corner of a rectangular grassy field 45 m by 25 m with a rope 22 m long . over how much area of the field can it graze ?;"""area of the shaded portion = 1 ⁄ 4 × π × ( 22 ) 2 = 380 m 2 answer b""";geometry;b;36567;a ) 354 cm 2 , b ) 380 m 2 , c ) 350 m 2 , d ) 407 m 2 , e ) none of these
a rectangular parking space is marked out by painting three of its sides . if the length of the unpainted side is 99 feet , and the sum of the lengths of the painted sides is 37 feet , find out the area of the parking space in square feet ?;explanation : solution 1 length = 9 feet breadth = 37 − 9 / 2 = 14 feet area = 9 × 14 = 126 square feet answer : option a;geometry;a;40488;['a ) 126 sq . ft', 'b ) 64 sq . ft', 'c ) 100 sq . ft', 'd ) 120 sq . ft', 'e ) 140 sq . ft']
the hypotenuse of a right triangle is 2 centimeters more than the longer side of the triangle . the shorter side of the triangle is 7 centimeters less than the longer side . find the length of the hypotenuse .;let a and b be the two sides of the triangle such that a is longer than b . the statement ` ` the hypotenuse of a right triangle is 2 centimeters more than the longer side of the triangle ' ' may be fomulated by h = a + 2 or a = h - 2 the statement ` ` the shorter side of the triangle is 7 centimeters less than the longer side ' ' may be formulated . b = a - 7 or b = ( h - 2 ) - 7 = h - 9 we now use pythagora ' s theorem to write a third equation h 2 = a 2 + b 2 substitute a by h - 2 and b by h - 9 in the above equation to obtain an equation in one variable only . h 2 = ( h - 2 ) 2 + ( h - 9 ) 2 simplify and rewrite the above equation in standard form . h 2 - 22 h + 85 = 0 solve for h . h = 5 and h = 17 . only the solution h = 17 gives a and b positive and it is the length of the hypotenuse of the triangle . answer a;geometry;a;22164;a ) 17 , b ) 18 , c ) 19 , d ) 20 , e ) 21
how many diagonals does a polygon with 23 sides have , if one of its vertices does not connect to any diagonal ?;"""if i calculate it using the formulae , # diagonals = n ( n - 3 ) / 2 each vertex sends of n - 3 diagonals n = 23 - 1 then 22 * ( 22 - 3 ) / 2 = 209 correct option : e""";geometry;e;15074;a ) 201 , b ) 159 , c ) 179 , d ) 189 , e ) 209
the length of a rectangle is two - fifths of the radius of a circle . the radius of the circle is equal to the side of the square , whose area is 2500 sq . units . what is the area ( in sq . units ) of the rectangle if the rectangle if the breadth is 10 units ?;"""given that the area of the square = 2500 sq . units = > side of square = √ 2500 = 50 units the radius of the circle = side of the square = 50 units length of the rectangle = 2 / 5 * 50 = 20 units given that breadth = 10 units area of the rectangle = lb = 20 * 10 = 200 sq . units answer : option e""";geometry;e;20186;a ) 140 , b ) 150 , c ) 160 , d ) 170 , e ) 200
12 business executives and 7 chairmen meet at a conference . if each business executive shakes the hand of every other business executive and every chairman once , and each chairman shakes the hand of each of the business executives but not the other chairmen , how many handshakes would take place ?;"""there are 12 business exec and in each handshake 2 business execs are involved . hence 12 c 2 = 66 also , each of 12 exec will shake hand with every 7 other chairmen for total of 84 handshake . total = 66 + 84 = 150 ans : a""";geometry;a;43091;a ) 150 , b ) 131 , c ) 115 , d ) 90 , e ) 45
the diagonals of a rhombus are 30 cm and 20 cm . find its area ?;"""1 / 2 * 30 * 20 = 300 answer : e""";geometry;e;38728;a ) 176 , b ) 190 , c ) 150 , d ) 278 , e ) 300
a clock hangs on the wall of a railway station , 71 ft 9 in long and 10 ft 4 in high . those are the dimension of the wall , not the clock ! while waiting for a train we noticed that the hands of the clock were pointing in opposite directions , and were parallel to one of the diagonals of the wall , what was the exact time ?;it can have four possiblities time could be 7 : 5 1 : 35 11 : 25 5 : 55 answer : b;geometry;b;28912;['a ) 7 : 15', 'b ) 7 : 5', 'c ) 7 : 25', 'd ) 7 : 45', 'e ) 7 : 55']
if the sides of a triangle are 28 cm , 26 cm and 10 cm , what is its area ?;"""the triangle with sides 28 cm , 26 cm and 10 cm is right angled , where the hypotenuse is 28 cm . area of the triangle = 1 / 2 * 26 * 10 = 130 cm 2 answer : d""";geometry;d;27137;a ) 120 cm 2 , b ) 112 cm 2 , c ) 776 cm 2 , d ) 130 cm 2 , e ) 886 cm 2
